Edith Cruz||1||16 de febrero de 2023||Una estrella por lo fastidioso que ha resultado la actualización de la app. Perdí mi línea de teléfono porque es imposible hacer recargas a mi mismo número. Solo se puede recargar saldo a las compañías de su competencia. Absurdo. Ahora tengo un teléfono sin red y sin servicio, hasta que compre un nuevo chip porque el que tengo expiró. Consejo: no hagan la portabilidad a ComparTfon, se van ahorrar muy malos ratos.||11
Alicia Lopez||3||25 de abril de 2023||Esta muy lenta la aplicación y en ocasiones continuas no permite ejecutar las transferencias, por favor corregirlo ya que es el uso continuo con esta aplicación de este banco. Saludos.||0
Lizbeth GOMEZ CHAVARRIA||1||25 de abril de 2023||Solo por qué no existe 0 estrellas, todo el tiempo son actualizaciónes que de la interfaz , y de la opción Transfer, nunca puedo realizar movimientos ya que siempre está en actualizacion y ha Sido tan molesto la aplicación desde entonces.||4
Yosef Megan||1||24 de marzo de 2023||La versión 3.1.3.1 Está enviando errores. 1.- La compañía de celular que utilizo es Movistar. 2.- Celular marca Samsung. Lo utilizo con otras Aplicaciones de Bancos y no tengo incidencias. Claro que hay problemas con la Aplicación. Ojalá los solucionen cuando les sea posible.||4
Claudia Hernandez Salcedo||1||13 de abril de 2023||Es un fastidio desde el 10 de abril lo estoy intentando entrar a la aplicación y no me deja que may un error y lo vuelvo intentar y nada y lo volví intentar 12 de abril y nada no hay otra aplicación que uno pueda entrar que no esa está forma o que nos ayuden para saber qué o cuál es el error que hay para tener esa aplicación es importante tenerla a lo menos de mi parte uno se acata a lo que nos dice nuestro asesor así que por favor ayúdeme a poder entrar su aplicación no creo ser único persona..||0
Sandra Villa V.||1||5 de abril de 2023||Coloco mi información y siempre dice que mis datos son incorrectos y se queda a medias el proceso. Y cuando logro colocar todo, unos días después se reinicia y tengo que empezar de nuevo todo y es muy tedioso y molesto||2
Amira Lizbhet Azuara||2||2 de abril de 2023||Tengo problemas con la aplicación, desde hace 2 días hice un depósito y no se ha reflejado , hice un pago y aún no se refleja tampoco, que pasa?? Mi app está actualizada ya. Con quién puedo revisar esto||0
Andrea Reynosa||1||21 de marzo de 2023||Todo bien lo único que me molesta es que cada que se me cierra o cualquier motivo es fastidioso seleccionar la fecha desde 1980 asta la necesaria y tener que pasar mes por mes y no poder seleccionar el año más facil||0
Aracely Lopez||1||23 de marzo de 2023||Puro tiempo perdido la verdad no me deja entrar a nada le pongo mis datos y me dice que está esperando el SMS que me llega a mi chip pero ese lo tengo en otro celular debido a que en mi celular digital no puedo tener chip y no me deja hacer nada la app no sé si está esperando a que el SMS llegué automático al celular pero pues nunca lo recibirá no entiendo por qué no ponen otras opciones si para una app no tiene la necesidad del número telefónico mucho menos que específicamente lo recibiba en el||0
Loo B||1||31 de marzo de 2023||Pésimo servicio de la app desde ayer no he podido entrar a mi banca me marca error y me dice q me registre desde cero lo hago y vuelve a marcar error ... Q coraje!!!||0
Ssndra Mora||1||12 de diciembre de 2022||Está mal y lo que le sigue, no abre, y si llega a hacerlo se traba y tampoco dan solución en atn a clientes. Es un fastidio está actualización. Estaba mejor como estaba antes, con compartfon no tuve jamas problemas. Según trabajaban para mejorar, pero este no fue para NADA el caso||28
LizZi Salazar||4||28 de noviembre de 2022||Le doy 4 estrellas porque con la nueva actualización ya no puedo realizar recargas ni siquiera a mi número, eso de que compartFon se haya mudado creo que no fue tan bueno, cada que quiero realizar una recarga me aparece un anuncio que dice que mi token es inválido no se si a los demás les aparezca lo mismo, me gustaría que solucionaran ese problema porque lleva 2 días así, antes de este cambio no tenía ningún problema con las aplicaciones😥.||36
Marian Ramirez||1||26 de abril de 2023||Pesima aplicación ,tardas mucho para registrarte cada q lo abres te pide fecha de nacimiento y viene de el año 1960 estarle apretando asta q salga el año de nacimiento deverian d mejorar eso después la contraseña no agarra tienes que poner varios y ninguna acepta||0
Miriam Robles||2||1 de diciembre de 2022||Sin duda me gustaba más Compartfon, aparte de que tampoco me permite hacer recargas porque me manda error, tampoco permite ver la ganancia del mes, ésto era muy útil ya que así tienes el control del dinero que estás depositando y del que va siendo tu ganancia, ojalá habilitaran ésto en la aplicación.||12
Marisolarreola Arreola||1||11 de diciembre de 2022||Pésimo, estaba mejor con compartefon, lo adquirí para realizar recargas y con esta actualización puro error es y no me permite realizar lss recargas, ya eh perdido bastante clientes por esta situación y para acabar los números que proporcionan nunca responden pésimo servicio. La verdad me es.muy molesto.||4
Ramon Rodriguez||1||22 de abril de 2023||Toda la información que tengo de los destinos a depositar está en pantalla blanco es fastidioso estar adivinando el destinatario ... Información de crédito igual se ve en blanca la pantalla||0
Lupita Angulo||1||19 de diciembre de 2022||Muy mal la aplicación, estaba mejor antes con compartafon. Tarda en entrar y te saca muy rápido en la aplicación. No hubo mejoría con el cambio Ya estoy pensando cambiarme a otra compañía para ventas de recarga. Mal todo en un banco en 1,2,x3||5
ingrid canto||1||14 de febrero de 2023||Pésima aplicación ya con esto van 2 veces k al hacer una compra con mi tarjeta de m hacen el cobro dos veces y ni como reclamar xk te hacen como pinpon te manda d aquí para allá, para k puedas reclamar tu dinero tienes k meter escritos y más escritos para ver si así te lo pueden regresar o das vuelta peor k pirinola||0
William Gutiérrez||5||16 de febrero de 2023||Todo bien. La cuenta sin problemas sin embargo no dan beneficios como cliente de TC o préstamos inmediatos. Hay mucho protocolo, sinceramente es de pensarse si seguir usando la cuenta sin que me otorgue beneficios siendo cliente de hace ya dos años.||2
